week_end,product_group_code,product_module_code,channel_code,store_zip3,fips_state_descr,volume,sales
2013-01-05,507,1035,F,716,AR,794,49.07
2013-01-12,507,1035,F,716,AR,1070,63.05
2013-01-19,507,1035,F,716,AR,1288,90.69
2013-01-26,507,1035,F,716,AR,892,58.46
2013-02-02,507,1035,F,716,AR,1122,70.11
2013-02-09,507,1035,F,716,AR,1102,71.31
2013-02-16,507,1035,F,716,AR,1030,65.45
2013-02-23,507,1035,F,716,AR,1030,65.45
2013-03-02,507,1035,F,716,AR,1072,73.11
2013-03-09,507,1035,F,716,AR,1072,73.11
2013-03-16,507,1035,F,716,AR,1322,83.56
2013-03-23,507,1035,F,716,AR,928,61.39
2013-03-30,507,1035,F,716,AR,534,39.22
2013-04-06,507,1035,F,716,AR,780,55
2013-04-13,507,1035,F,716,AR,1174,77.17
2013-04-20,507,1035,F,716,AR,594,35.62
2013-04-27,507,1035,F,716,AR,1414,88.22
2013-05-04,507,1035,F,716,AR,958,59.59
2013-05-11,507,1035,F,716,AR,1312,84.16
2013-05-18,507,1035,F,716,AR,616,44.48
2013-05-25,507,1035,F,716,AR,1500,88.15
2013-06-01,507,1035,F,716,AR,952,54.86
2013-06-08,507,1035,F,716,AR,984,63.12
2013-06-15,507,1035,F,716,AR,548,33.29
2013-06-22,507,1035,F,716,AR,1046,69.58
2013-06-29,507,1035,F,716,AR,830,52
2013-07-06,507,1035,F,716,AR,932,56.06
2013-07-13,507,1035,F,716,AR,758,46.14
2013-07-20,507,1035,F,716,AR,924,66.72
2013-07-27,507,1035,F,716,AR,594,35.62
2013-08-03,507,1035,F,716,AR,620,39.15
2013-08-10,507,1035,F,716,AR,538,33.89
2013-08-17,507,1035,F,716,AR,492,31.56
2013-08-24,507,1035,F,716,AR,518,35.09
2013-08-31,507,1035,F,716,AR,1582,93.41
2013-09-07,507,1035,F,716,AR,374,23.37
2013-09-14,507,1035,F,716,AR,994,62.52
2013-09-21,507,1035,F,716,AR,820,52.6
2013-09-28,507,1035,F,716,AR,636,43.28
2013-10-05,507,1035,F,716,AR,666,41.48
2013-10-12,507,1035,F,716,AR,902,57.86
2013-10-19,507,1035,F,716,AR,928,61.39
2013-10-26,507,1035,F,716,AR,800,53.8
2013-11-02,507,1035,F,716,AR,344,25.17
2013-11-09,507,1035,F,716,AR,928,61.39
2013-11-16,507,1035,F,716,AR,974,63.72
2013-11-23,507,1035,F,716,AR,564,37.42
2013-11-30,507,1035,F,716,AR,898,63.19
2013-12-07,507,1035,F,716,AR,1086,67.18
2013-12-14,507,1035,F,716,AR,620,39.15
2013-12-21,507,1035,F,716,AR,758,46.14
2013-12-28,507,1035,F,716,AR,686,40.28
2013-01-05,507,1035,F,717,AR,600,40.35
2013-01-12,507,1035,F,717,AR,108,8.79
2013-01-19,507,1035,F,717,AR,400,26.9
2013-01-26,507,1035,F,717,AR,584,36.22
2013-02-02,507,1035,F,717,AR,508,35.69
2013-02-09,507,1035,F,717,AR,174,9.92
2013-02-16,507,1035,F,717,AR,558,32.69
2013-02-23,507,1035,F,717,AR,732,42.61
2013-03-02,507,1035,F,717,AR,518,35.09
2013-03-09,507,1035,F,717,AR,518,35.09
2013-03-16,507,1035,F,717,AR,236,16.38
2013-03-23,507,1035,F,717,AR,220,12.25
2013-03-30,507,1035,F,717,AR,600,40.35
2013-04-06,507,1035,F,717,AR,118,8.19
2013-04-13,507,1035,F,717,AR,860,50.2
2013-04-20,507,1035,F,717,AR,626,43.88
2013-04-27,507,1035,F,717,AR,354,24.57
2013-05-04,507,1035,F,717,AR,830,52
2013-05-11,507,1035,F,717,AR,236,16.38
2013-05-18,507,1035,F,717,AR,456,28.63
2013-05-25,507,1035,F,717,AR,594,35.62
2013-06-01,507,1035,F,717,AR,200,13.45
2013-06-08,507,1035,F,717,AR,200,13.45
2013-06-15,507,1035,F,717,AR,446,29.23
2013-06-22,507,1035,F,717,AR,534,39.22
2013-06-29,507,1035,F,717,AR,488,36.89
2013-07-06,507,1035,F,717,AR,672,46.21
2013-07-13,507,1035,F,717,AR,870,49.6
2013-07-20,507,1035,F,717,AR,570,42.15
2013-07-27,507,1035,F,717,AR,370,28.7
2013-08-03,507,1035,F,717,AR,220,12.25
2013-08-10,507,1035,F,717,AR,672,46.21
2013-08-17,507,1035,F,717,AR,318,21.64
2013-08-24,507,1035,F,717,AR,220,12.25
2013-08-31,507,1035,F,717,AR,174,9.92
2013-09-07,507,1035,F,717,AR,338,20.44
2013-09-14,507,1035,F,717,AR,584,36.22
2013-09-21,507,1035,F,717,AR,308,22.24
2013-09-28,507,1035,F,717,AR,804,48.47
2013-10-05,507,1035,F,717,AR,154,11.12
2013-10-12,507,1035,F,717,AR,226,16.98
2013-10-19,507,1035,F,717,AR,656,42.08
2013-10-26,507,1035,F,717,AR,512,30.36
2013-11-02,507,1035,F,717,AR,564,37.42
2013-11-09,507,1035,F,717,AR,742,42.01
2013-11-16,507,1035,F,717,AR,216,17.58
2013-11-23,507,1035,F,717,AR,864,44.87
2013-11-30,507,1035,F,717,AR,670,36.15
2013-12-07,507,1035,F,717,AR,236,16.38
2013-12-14,507,1035,F,717,AR,742,35.37
2013-12-21,507,1035,F,717,AR,650,26.91
2013-12-28,507,1035,F,717,AR,554,38.02
2013-01-05,507,1035,F,718,AR,610,39.55
2013-01-12,507,1035,F,718,AR,184,9.12
2013-01-19,507,1035,F,718,AR,220,11.95
2013-01-26,507,1035,F,718,AR,138,6.79
2013-02-02,507,1035,F,718,AR,266,14.38
2013-02-09,507,1035,F,718,AR,410,26.3
2013-02-16,507,1035,F,718,AR,456,28.53
2013-02-23,507,1035,F,718,AR,322,15.91
2013-03-02,507,1035,F,718,AR,676,41.28
2013-03-09,507,1035,F,718,AR,676,41.28
2013-03-16,507,1035,F,718,AR,236,16.58
2013-03-23,507,1035,F,718,AR,358,19.14
2013-03-30,507,1035,F,718,AR,522,28.96
2013-04-06,507,1035,F,718,AR,414,16.13
2013-04-13,507,1035,F,718,AR,266,14.58
2013-04-20,507,1035,F,718,AR,502,31.26
2013-04-27,507,1035,F,718,AR,738,47.24
2013-05-04,507,1035,F,718,AR,220,12.15
2013-05-11,507,1035,F,718,AR,450,23.5
2013-05-18,507,1035,F,718,AR,666,41.58
2013-05-25,507,1035,F,718,AR,210,12.65
2013-06-01,507,1035,F,718,AR,318,21.94
2013-06-08,507,1035,F,718,AR,670,36.15
2013-06-15,507,1035,F,718,AR,544,39.12
2013-06-22,507,1035,F,718,AR,706,39.28
2013-06-29,507,1035,F,718,AR,450,23.1
2013-07-06,507,1035,F,718,AR,552,27.26
2013-07-13,507,1035,F,718,AR,584,36.32
2013-07-20,507,1035,F,718,AR,568,31.79
2013-07-27,507,1035,F,718,AR,518,35.29
2013-08-03,507,1035,F,718,AR,210,12.65
2013-08-10,507,1035,F,718,AR,794,49.67
2013-08-17,507,1035,F,718,AR,338,20.54
2013-08-24,507,1035,F,718,AR,760,57.8
2013-08-31,507,1035,F,718,AR,574,37.32
2013-09-07,507,1035,F,718,AR,430,25
2013-09-14,507,1035,F,718,AR,614,34.42
2013-09-21,507,1035,F,718,AR,338,20.24
2013-09-28,507,1035,F,718,AR,476,27.23
2013-10-05,507,1035,F,718,AR,36,3.03
2013-10-12,507,1035,F,718,AR,980,69.75
2013-10-19,507,1035,F,718,AR,466,28.03
2013-10-26,507,1035,F,718,AR,276,13.68
2013-11-02,507,1035,F,718,AR,210,12.85
2013-11-09,507,1035,F,718,AR,390,27.8
2013-11-16,507,1035,F,718,AR,574,37.32
2013-11-23,507,1035,F,718,AR,128,7.59
2013-11-30,507,1035,F,718,AR,384,22.47
2013-12-07,507,1035,F,718,AR,574,36.92
2013-12-14,507,1035,F,718,AR,334,26.37
2013-12-21,507,1035,F,718,AR,830,52.4
2013-12-28,507,1035,F,718,AR,614,34.22
2013-01-05,507,1035,F,719,AR,634,31.24
2013-01-12,507,1035,F,719,AR,916,48.41
2013-01-19,507,1035,F,719,AR,552,26.2
2013-01-26,507,1035,F,719,AR,634,30.8
2013-02-02,507,1035,F,719,AR,430,24
2013-02-09,507,1035,F,719,AR,276,12.88
2013-02-16,507,1035,F,719,AR,276,12.66
2013-02-23,507,1035,F,719,AR,874,38.51
2013-03-02,507,1035,F,719,AR,726,34.58
2013-03-09,507,1035,F,719,AR,450,22.58
2013-03-16,507,1035,F,719,AR,782,34.99
2013-03-23,507,1035,F,719,AR,1058,45.13
2013-03-30,507,1035,F,719,AR,854,40
2013-04-06,507,1035,F,719,AR,910,40.93
2013-04-13,507,1035,F,719,AR,690,30
2013-04-20,507,1035,F,719,AR,864,41.49
2013-04-27,507,1035,F,719,AR,220,11.37
2013-05-04,507,1035,F,719,AR,506,23.87
2013-05-11,507,1035,F,719,AR,138,6.33
2013-05-18,507,1035,F,719,AR,644,30.42
2013-05-25,507,1035,F,719,AR,506,23.65
2013-06-01,507,1035,F,719,AR,542,26.8
2013-06-08,507,1035,F,719,AR,348,18.96
2013-06-15,507,1035,F,719,AR,358,17.7
2013-06-22,507,1035,F,719,AR,644,30.42
2013-06-29,507,1035,F,719,AR,322,14.77
2013-07-06,507,1035,F,719,AR,368,17.76
2013-07-13,507,1035,F,719,AR,368,17.1
2013-07-20,507,1035,F,719,AR,414,18.99
2013-07-27,507,1035,F,719,AR,644,30.2
2013-08-03,507,1035,F,719,AR,460,21.1
2013-08-10,507,1035,F,719,AR,276,12.66
2013-08-17,507,1035,F,719,AR,486,24.85
2013-08-24,507,1035,F,719,AR,680,33.13
2013-08-31,507,1035,F,719,AR,1104,50.86
2013-09-07,507,1035,F,719,AR,276,11.34
2013-09-14,507,1035,F,719,AR,476,26.33
2013-09-21,507,1035,F,719,AR,322,14.77
2013-09-28,507,1035,F,719,AR,266,13.48
2013-10-05,507,1035,F,719,AR,736,31.12
2013-10-12,507,1035,F,719,AR,782,32.57
2013-10-19,507,1035,F,719,AR,1232,52.07
2013-10-26,507,1035,F,719,AR,874,35.91
2013-11-02,507,1035,F,719,AR,920,38.68
2013-11-09,507,1035,F,719,AR,1150,48.57
2013-11-16,507,1035,F,719,AR,1048,44.95
2013-11-23,507,1035,F,719,AR,1012,42.9
2013-11-30,507,1035,F,719,AR,644,30.2
2013-12-07,507,1035,F,719,AR,1058,48.75
2013-12-14,507,1035,F,719,AR,1002,47.46
2013-12-21,507,1035,F,719,AR,1232,59.17
2013-12-28,507,1035,F,719,AR,404,20.29
2013-01-05,507,1035,F,720,AR,1334,61.27
2013-01-12,507,1035,F,720,AR,828,36.98
2013-01-19,507,1035,F,720,AR,1288,59.32
2013-01-26,507,1035,F,720,AR,736,34
2013-02-02,507,1035,F,720,AR,690,31.65
2013-02-09,507,1035,F,720,AR,552,25.48
2013-02-16,507,1035,F,720,AR,552,25.32
2013-02-23,507,1035,F,720,AR,1288,56.46
2013-03-02,507,1035,F,720,AR,1886,82.19
2013-03-09,507,1035,F,720,AR,1334,58.76
2013-03-16,507,1035,F,720,AR,1380,60.76
2013-03-23,507,1035,F,720,AR,1702,74.95
2013-03-30,507,1035,F,720,AR,1058,46.19
2013-04-06,507,1035,F,720,AR,1150,50
2013-04-13,507,1035,F,720,AR,1426,62.19
2013-04-20,507,1035,F,720,AR,1150,52.14
2013-04-27,507,1035,F,720,AR,920,42.28
2013-05-04,507,1035,F,720,AR,690,31.79
2013-05-11,507,1035,F,720,AR,828,37.98
2013-05-18,507,1035,F,720,AR,782,36.15
2013-05-25,507,1035,F,720,AR,644,29.54
2013-06-01,507,1035,F,720,AR,782,35.87
2013-06-08,507,1035,F,720,AR,506,23.35
2013-06-15,507,1035,F,720,AR,460,21.1
2013-06-22,507,1035,F,720,AR,1242,57.11
2013-06-29,507,1035,F,720,AR,920,42.76
2013-07-06,507,1035,F,720,AR,920,42.62
2013-07-13,507,1035,F,720,AR,644,29.54
