week_end,product_group_code,product_module_code,channel_code,store_zip3,fips_state_descr,volume,sales
2012-09-15,1020,1462,F,351,AL,0.25,0.79
2012-11-17,1020,1462,F,351,AL,0.25,0.79
2012-10-06,1020,1462,F,352,AL,0.25,0.79
2012-09-22,1020,1462,F,354,AL,0.25,0.79
2012-10-20,1020,1462,F,354,AL,0.25,0.79
2012-11-03,1020,1462,F,354,AL,0.25,0.79
2012-11-10,1020,1462,F,354,AL,0.25,0.79
2012-09-15,1020,1462,F,355,AL,0.5,1.58
2012-01-14,1020,1462,F,356,AL,8,7.99
2012-01-28,1020,1462,F,356,AL,8,8.99
2012-02-04,1020,1462,F,356,AL,8,7.99
2012-02-25,1020,1462,F,356,AL,16,17.98
2012-03-24,1020,1462,F,356,AL,16,15.98
2012-04-21,1020,1462,F,356,AL,8,8.99
2012-05-05,1020,1462,F,356,AL,16,17.98
2012-06-23,1020,1462,F,356,AL,16,15.38
2012-08-04,1020,1462,F,356,AL,16,17.98
2012-09-01,1020,1462,F,356,AL,8,8.99
2012-09-22,1020,1462,F,356,AL,8,8.99
2012-10-06,1020,1462,F,356,AL,8,8.99
2012-10-20,1020,1462,F,356,AL,8,8.99
2012-11-03,1020,1462,F,356,AL,32,30.96
2012-12-01,1020,1462,F,356,AL,16,17.98
2012-12-29,1020,1462,F,356,AL,8,8.99
2012-01-28,1020,1462,F,357,AL,8,7.99
2012-04-07,1020,1462,F,357,AL,8,7.99
2012-04-14,1020,1462,F,357,AL,8,8.99
2012-08-11,1020,1462,F,357,AL,8,8.99
2012-01-21,1020,1462,F,358,AL,24,23.97
2012-01-28,1020,1462,F,358,AL,8,7.99
2012-02-04,1020,1462,F,358,AL,16,15.98
2012-03-03,1020,1462,F,358,AL,16,17.98
2012-03-10,1020,1462,F,358,AL,8,8.99
2012-03-17,1020,1462,F,358,AL,16,15.98
2012-03-24,1020,1462,F,358,AL,16,15.98
2012-03-31,1020,1462,F,358,AL,16,15.98
2012-04-07,1020,1462,F,358,AL,8,7.99
2012-04-14,1020,1462,F,358,AL,16,17.98
2012-04-21,1020,1462,F,358,AL,8,8.99
2012-05-05,1020,1462,F,358,AL,16,17.98
2012-05-12,1020,1462,F,358,AL,8,8.99
2012-05-19,1020,1462,F,358,AL,16,17.98
2012-06-02,1020,1462,F,358,AL,24,26.97
2012-06-23,1020,1462,F,358,AL,56,53.83
2012-07-07,1020,1462,F,358,AL,8,7.69
2012-07-14,1020,1462,F,358,AL,16,15.38
2012-07-21,1020,1462,F,358,AL,8,8.99
2012-08-04,1020,1462,F,358,AL,8,8.99
2012-08-11,1020,1462,F,358,AL,24,26.97
2012-08-25,1020,1462,F,358,AL,24,26.97
2012-09-01,1020,1462,F,358,AL,8,8.99
2012-09-08,1020,1462,F,358,AL,16,17.98
2012-09-22,1020,1462,F,358,AL,8,8.99
2012-09-29,1020,1462,F,358,AL,8,8.99
2012-10-13,1020,1462,F,358,AL,8,8.99
2012-10-27,1020,1462,F,358,AL,8,8.99
2012-11-03,1020,1462,F,358,AL,32,31.96
2012-11-10,1020,1462,F,358,AL,16,15.98
2012-11-24,1020,1462,F,358,AL,8,7.99
2012-12-08,1020,1462,F,358,AL,8,8.99
2012-12-22,1020,1462,F,358,AL,8,8.99
2012-09-22,1020,1462,F,360,AL,0.25,0.79
2012-09-15,1020,1462,F,362,AL,0.5,1.58
2012-10-13,1020,1462,F,362,AL,0.25,0.79
2012-11-10,1020,1462,F,362,AL,0.25,0.79
2012-09-29,1020,1462,F,363,AL,0.25,0.79
2012-10-06,1020,1462,F,363,AL,0.25,0.79
2012-10-13,1020,1462,F,363,AL,2.75,8.69
2012-12-22,1020,1462,F,363,AL,0.5,1.58
2012-12-29,1020,1462,F,363,AL,0.25,0.79
2012-01-28,1020,1462,F,365,AL,0.5,1.58
2012-09-22,1020,1462,F,365,AL,0.25,0.79
2012-10-06,1020,1462,F,365,AL,0.75,2.37
2012-10-13,1020,1462,F,365,AL,0.25,0.79
2012-10-20,1020,1462,F,365,AL,0.75,2.37
2012-11-03,1020,1462,F,365,AL,0.5,1.58
2012-11-10,1020,1462,F,365,AL,0.25,0.79
2012-11-24,1020,1462,F,365,AL,0.25,0.79
2012-12-15,1020,1462,F,365,AL,0.5,1.58
2012-09-01,1020,1462,F,366,AL,0.25,0.79
2012-09-08,1020,1462,F,366,AL,0.5,1.58
2012-09-15,1020,1462,F,366,AL,0.25,0.79
2012-10-06,1020,1462,F,366,AL,0.5,1.58
2012-10-13,1020,1462,F,366,AL,0.25,0.79
2012-10-20,1020,1462,F,366,AL,0.25,0.79
2012-11-17,1020,1462,F,366,AL,0.25,0.79
2012-11-24,1020,1462,F,366,AL,0.25,0.79
2012-12-08,1020,1462,F,366,AL,0.25,0.79
2012-12-15,1020,1462,F,366,AL,0.25,0.79
2012-12-29,1020,1462,F,366,AL,0.25,0.79
2012-01-28,1020,1462,F,368,AL,8,7.99
2012-03-03,1020,1462,F,368,AL,8,8.99
2012-03-31,1020,1462,F,368,AL,8,7.99
2012-06-02,1020,1462,F,368,AL,8,8.99
2012-09-22,1020,1462,F,368,AL,8.25,9.78
2012-10-13,1020,1462,F,368,AL,8,8.99
2012-11-03,1020,1462,F,368,AL,16,15.98
2012-11-24,1020,1462,F,368,AL,8,7.99
2012-12-22,1020,1462,F,368,AL,8,8.99
2012-01-14,1020,1462,F,718,AR,0.25,1.29
2012-02-11,1020,1462,F,718,AR,0.5,2.58
2012-03-03,1020,1462,F,718,AR,0.5,2.58
2012-03-10,1020,1462,F,718,AR,0.25,1.29
2012-03-17,1020,1462,F,718,AR,0.25,1.29
2012-05-05,1020,1462,F,718,AR,0.5,2.58
2012-05-19,1020,1462,F,718,AR,0.25,1.29
2012-06-02,1020,1462,F,718,AR,0.5,2.58
2012-06-23,1020,1462,F,718,AR,1,5.16
2012-07-07,1020,1462,F,718,AR,1,5.16
2012-07-21,1020,1462,F,718,AR,0.5,2.58
2012-08-04,1020,1462,F,718,AR,0.25,1.29
2012-08-25,1020,1462,F,718,AR,0.25,1.29
2012-09-29,1020,1462,F,718,AR,0.5,2.58
2012-11-03,1020,1462,F,718,AR,0.25,1.29
2012-11-24,1020,1462,F,718,AR,0.25,1.29
2012-12-22,1020,1462,F,718,AR,0.75,3.87
2012-01-14,1020,1462,F,719,AR,16,13.98
2012-02-04,1020,1462,F,719,AR,8,6.99
2012-02-18,1020,1462,F,719,AR,8,9.09
2012-03-03,1020,1462,F,719,AR,8,9.09
2012-03-10,1020,1462,F,719,AR,8,9.09
2012-03-17,1020,1462,F,719,AR,8.5,11.67
2012-03-24,1020,1462,F,719,AR,16,13.98
2012-03-31,1020,1462,F,719,AR,8,6.99
2012-04-07,1020,1462,F,719,AR,8,6.99
2012-04-28,1020,1462,F,719,AR,8,9.09
2012-07-07,1020,1462,F,719,AR,16,15.98
2012-07-21,1020,1462,F,719,AR,8,7.99
2012-08-04,1020,1462,F,719,AR,8,9.09
2012-08-11,1020,1462,F,719,AR,8,9.09
2012-08-25,1020,1462,F,719,AR,8,9.09
2012-09-01,1020,1462,F,719,AR,8,9.09
2012-09-22,1020,1462,F,719,AR,0.375,1.29
2012-10-27,1020,1462,F,719,AR,8,9.09
2012-11-03,1020,1462,F,719,AR,8,9.09
2012-11-10,1020,1462,F,719,AR,24,23.97
2012-11-17,1020,1462,F,719,AR,8,7.99
2012-12-01,1020,1462,F,719,AR,16,18.18
2012-12-08,1020,1462,F,719,AR,8,9.09
2012-12-15,1020,1462,F,719,AR,8,9.09
2012-12-22,1020,1462,F,719,AR,8,9.09
2012-12-29,1020,1462,F,719,AR,16,18.18
2012-01-28,1020,1462,F,720,AR,8,6.99
2012-02-04,1020,1462,F,720,AR,32,27.96
2012-02-11,1020,1462,F,720,AR,8,6.99
2012-02-25,1020,1462,F,720,AR,8,9.09
2012-03-17,1020,1462,F,720,AR,24,19.97
2012-03-24,1020,1462,F,720,AR,40,34.45
2012-03-31,1020,1462,F,720,AR,8,6.99
2012-04-07,1020,1462,F,720,AR,16,13.98
2012-04-21,1020,1462,F,720,AR,8,9.09
2012-05-26,1020,1462,F,720,AR,8,9.09
2012-07-21,1020,1462,F,720,AR,16,18.18
2012-08-04,1020,1462,F,720,AR,8,9.09
2012-08-18,1020,1462,F,720,AR,16,18.18
2012-08-25,1020,1462,F,720,AR,8,9.09
2012-09-08,1020,1462,F,720,AR,8,9.09
2012-09-15,1020,1462,F,720,AR,8,9.09
2012-09-22,1020,1462,F,720,AR,16,18.18
2012-10-06,1020,1462,F,720,AR,8,9.09
2012-10-13,1020,1462,F,720,AR,8,9.09
2012-10-20,1020,1462,F,720,AR,16,18.18
2012-11-10,1020,1462,F,720,AR,16,15.48
2012-11-17,1020,1462,F,720,AR,24,23.97
2012-12-01,1020,1462,F,720,AR,16,17.08
2012-12-08,1020,1462,F,720,AR,8,9.09
2012-01-14,1020,1462,F,721,AR,8,6.99
2012-01-28,1020,1462,F,721,AR,16,13.98
2012-02-25,1020,1462,F,721,AR,8,9.09
2012-03-10,1020,1462,F,721,AR,8,9.09
2012-03-17,1020,1462,F,721,AR,8,6.99
2012-03-24,1020,1462,F,721,AR,8,6.99
2012-05-05,1020,1462,F,721,AR,8,9.09
2012-06-23,1020,1462,F,721,AR,8,7.99
2012-06-30,1020,1462,F,721,AR,16,15.98
2012-07-14,1020,1462,F,721,AR,8,7.99
2012-09-01,1020,1462,F,721,AR,8,9.09
2012-09-08,1020,1462,F,721,AR,8,9.09
2012-09-22,1020,1462,F,721,AR,16,18.18
2012-11-24,1020,1462,F,721,AR,8,7.99
2012-12-01,1020,1462,F,721,AR,8,9.09
2012-01-07,1020,1462,F,722,AR,8,6.99
2012-02-04,1020,1462,F,722,AR,8,6.99
2012-03-24,1020,1462,F,722,AR,8,9.09
2012-04-14,1020,1462,F,722,AR,32,30.06
2012-04-21,1020,1462,F,722,AR,8,9.09
2012-04-28,1020,1462,F,722,AR,8,9.09
2012-05-12,1020,1462,F,722,AR,16,18.18
2012-05-26,1020,1462,F,722,AR,8,9.09
2012-06-02,1020,1462,F,722,AR,16,18.18
2012-06-16,1020,1462,F,722,AR,8,9.09
2012-06-23,1020,1462,F,722,AR,16,18.18
2012-07-07,1020,1462,F,722,AR,8,7.99
2012-07-14,1020,1462,F,722,AR,8,7.99
2012-07-21,1020,1462,F,722,AR,8,7.99
2012-07-28,1020,1462,F,722,AR,16,18.18
2012-08-04,1020,1462,F,722,AR,8,4.54
2012-08-11,1020,1462,F,722,AR,8,9.09
2012-09-15,1020,1462,F,722,AR,8,9.09
2012-10-06,1020,1462,F,722,AR,8,9.09
2012-10-13,1020,1462,F,722,AR,16,18.18
2012-10-27,1020,1462,F,722,AR,8,9.09
2012-11-03,1020,1462,F,722,AR,8,9.09
2012-11-24,1020,1462,F,722,AR,16,15.98
2012-12-01,1020,1462,F,722,AR,16,18.18
2012-12-08,1020,1462,F,722,AR,24,27.27
2012-12-15,1020,1462,F,722,AR,16,18.18
2012-12-22,1020,1462,F,722,AR,8,9.09
2012-01-07,1020,1462,F,850,AZ,298.75,398.7
2012-01-14,1020,1462,F,850,AZ,300.28,438.16
2012-01-21,1020,1462,F,850,AZ,184.03,313.51
2012-01-28,1020,1462,F,850,AZ,232.5,322.93
2012-02-04,1020,1462,F,850,AZ,197.25,287.67
2012-02-11,1020,1462,F,850,AZ,204,313.46
2012-02-18,1020,1462,F,850,AZ,245,392.21
2012-02-25,1020,1462,F,850,AZ,227,349.02
2012-03-03,1020,1462,F,850,AZ,262,392.95
2012-03-10,1020,1462,F,850,AZ,273,375.23
2012-03-17,1020,1462,F,850,AZ,238.81,335.61
2012-03-24,1020,1462,F,850,AZ,343.25,445.42
2012-03-31,1020,1462,F,850,AZ,322.25,413.17
2012-04-07,1020,1462,F,850,AZ,224.5,359.19
2012-04-14,1020,1462,F,850,AZ,222.875,329.82
2012-04-21,1020,1462,F,850,AZ,337.25,421.35
2012-04-28,1020,1462,F,850,AZ,280.25,337.87
2012-05-05,1020,1462,F,850,AZ,226,274.43
2012-05-12,1020,1462,F,850,AZ,261.125,352.26
2012-05-19,1020,1462,F,850,AZ,248,309.18
2012-05-26,1020,1462,F,850,AZ,253.75,330.22
2012-06-02,1020,1462,F,850,AZ,218.125,307.65
2012-06-09,1020,1462,F,850,AZ,194.25,292.62
2012-06-16,1020,1462,F,850,AZ,182.75,290.17
2012-06-23,1020,1462,F,850,AZ,310.75,361.74
2012-06-30,1020,1462,F,850,AZ,203.25,288.47
2012-07-07,1020,1462,F,850,AZ,211,279.63
2012-07-14,1020,1462,F,850,AZ,286.75,338.99
2012-07-21,1020,1462,F,850,AZ,271.375,339.3
2012-07-28,1020,1462,F,850,AZ,268.75,314.36
2012-08-04,1020,1462,F,850,AZ,281.125,347.59
2012-08-11,1020,1462,F,850,AZ,216.625,315.09
2012-08-18,1020,1462,F,850,AZ,288.875,349.46
2012-08-25,1020,1462,F,850,AZ,250.625,322.08
2012-09-01,1020,1462,F,850,AZ,260.5,331.04
2012-09-08,1020,1462,F,850,AZ,249.75,357.92
2012-09-15,1020,1462,F,850,AZ,306.625,403.23
2012-09-22,1020,1462,F,850,AZ,322.375,365.88
2012-09-29,1020,1462,F,850,AZ,281.75,352.28
2012-10-06,1020,1462,F,850,AZ,265.375,370.43
2012-10-13,1020,1462,F,850,AZ,329.405,416.03
2012-10-20,1020,1462,F,850,AZ,346.125,425.78
2012-10-27,1020,1462,F,850,AZ,259.155,384.83
2012-11-03,1020,1462,F,850,AZ,290.125,407.53
2012-11-10,1020,1462,F,850,AZ,273.125,411.64
2012-11-17,1020,1462,F,850,AZ,245.875,371.6
2012-11-24,1020,1462,F,850,AZ,231.875,384.76
2012-12-01,1020,1462,F,850,AZ,297.78,410.7
2012-12-08,1020,1462,F,850,AZ,292.715,451.85
2012-12-15,1020,1462,F,850,AZ,306.405,482.14
2012-12-22,1020,1462,F,850,AZ,257.375,426.52
2012-12-29,1020,1462,F,850,AZ,438.995,505.72
2012-01-28,1020,1462,M,850,AZ,16,7.99
2012-02-25,1020,1462,M,850,AZ,16,7.99
2012-03-17,1020,1462,M,850,AZ,16,7.99
2012-03-24,1020,1462,M,850,AZ,16,7.99
2012-04-14,1020,1462,M,850,AZ,16,7.59
2012-04-21,1020,1462,M,850,AZ,16,7.99
2012-05-05,1020,1462,M,850,AZ,16,7.99
2012-06-16,1020,1462,M,850,AZ,16,7.99
2012-06-30,1020,1462,M,850,AZ,16,7.99
2012-07-14,1020,1462,M,850,AZ,16,7.99
2012-07-21,1020,1462,M,850,AZ,32,15.98
2012-10-13,1020,1462,M,850,AZ,16,7.99
2012-12-15,1020,1462,M,850,AZ,16,7.99
2012-01-07,1020,1462,F,851,AZ,12.25,17.9
2012-01-14,1020,1462,F,851,AZ,43.75,39.58
2012-01-21,1020,1462,F,851,AZ,8,18.41
2012-01-28,1020,1462,F,851,AZ,4,9.12
2012-02-04,1020,1462,F,851,AZ,51.25,40.18
2012-02-11,1020,1462,F,851,AZ,19.25,17.22
2012-02-18,1020,1462,F,851,AZ,62.25,62.2
2012-02-25,1020,1462,F,851,AZ,20.75,26.98
2012-03-03,1020,1462,F,851,AZ,21.5,31.26
2012-03-10,1020,1462,F,851,AZ,28.25,28.17
2012-03-17,1020,1462,F,851,AZ,40.75,38.41
2012-03-24,1020,1462,F,851,AZ,53,57.64
2012-03-31,1020,1462,F,851,AZ,49.25,51.37
2012-04-07,1020,1462,F,851,AZ,45.5,44.75
2012-04-14,1020,1462,F,851,AZ,37.875,39.8
2012-04-21,1020,1462,F,851,AZ,15.375,27.34
2012-04-28,1020,1462,F,851,AZ,3.5,8.13
2012-05-05,1020,1462,F,851,AZ,36.875,33.21
2012-05-12,1020,1462,F,851,AZ,14.875,25.61
2012-05-19,1020,1462,F,851,AZ,21.25,26.29
2012-05-26,1020,1462,F,851,AZ,22.125,31.15
2012-06-02,1020,1462,F,851,AZ,26.75,24.2
2012-06-09,1020,1462,F,851,AZ,7,15.64
2012-06-16,1020,1462,F,851,AZ,13.125,22.76
2012-06-23,1020,1462,F,851,AZ,21.125,20.97
2012-06-30,1020,1462,F,851,AZ,3.5,7.72
2012-07-07,1020,1462,F,851,AZ,18.5,23.32
2012-07-14,1020,1462,F,851,AZ,23.625,29.57
2012-07-21,1020,1462,F,851,AZ,39.5,43.4
2012-07-28,1020,1462,F,851,AZ,37,28.66
2012-08-04,1020,1462,F,851,AZ,13.875,18.65
2012-08-11,1020,1462,F,851,AZ,30,42.23
2012-08-18,1020,1462,F,851,AZ,30.125,24.75
2012-08-25,1020,1462,F,851,AZ,62.25,62.76
2012-09-01,1020,1462,F,851,AZ,15.125,20.22
2012-09-08,1020,1462,F,851,AZ,15,21.12
2012-09-15,1020,1462,F,851,AZ,11.875,19.01
2012-09-22,1020,1462,F,851,AZ,28.25,32.8
2012-09-29,1020,1462,F,851,AZ,11.625,21.2
2012-10-06,1020,1462,F,851,AZ,8.5,6.27
2012-10-13,1020,1462,F,851,AZ,19.625,21.89
2012-10-20,1020,1462,F,851,AZ,21,24.46
2012-10-27,1020,1462,F,851,AZ,22.75,24.91
2012-11-03,1020,1462,F,851,AZ,51.125,41.89
2012-11-10,1020,1462,F,851,AZ,15.375,28.01
2012-11-17,1020,1462,F,851,AZ,16.75,24.57
2012-11-24,1020,1462,F,851,AZ,21.625,30.35
2012-12-01,1020,1462,F,851,AZ,57.125,53.95
2012-12-08,1020,1462,F,851,AZ,19.75,27.97
2012-12-15,1020,1462,F,851,AZ,22.625,29.01
2012-12-22,1020,1462,F,851,AZ,64.125,53.46
2012-12-29,1020,1462,F,851,AZ,16.5,23.98
2012-01-07,1020,1462,F,852,AZ,130.56,168.42
2012-01-14,1020,1462,F,852,AZ,86.55,157.89
2012-01-21,1020,1462,F,852,AZ,93.55,120.58
2012-01-28,1020,1462,F,852,AZ,113.25,126.96
2012-02-04,1020,1462,F,852,AZ,64,94
2012-02-11,1020,1462,F,852,AZ,54.05,116.35
2012-02-18,1020,1462,F,852,AZ,205.05,227.94
2012-02-25,1020,1462,F,852,AZ,143.85,191.34
2012-03-03,1020,1462,F,852,AZ,139.5,172.36
2012-03-10,1020,1462,F,852,AZ,118.5,132.53
2012-03-17,1020,1462,F,852,AZ,161.25,182.07
