week_end,product_group_code,product_module_code,channel_code,store_zip3,fips_state_descr,volume,sales
2008-01-19,1020,1457,F,350,AL,12,16.77
2008-01-26,1020,1457,F,350,AL,8,11.18
2008-02-09,1020,1457,F,350,AL,4,5.59
2008-02-16,1020,1457,F,350,AL,4,5.59
2008-03-08,1020,1457,F,350,AL,16,22.36
2008-04-05,1020,1457,F,350,AL,8,11.18
2008-04-19,1020,1457,F,350,AL,4,5.59
2008-05-17,1020,1457,F,350,AL,8,11.18
2008-06-07,1020,1457,F,350,AL,4,5.59
2008-08-23,1020,1457,F,350,AL,12,16.77
2008-09-13,1020,1457,F,350,AL,4,5.59
2008-09-27,1020,1457,F,350,AL,4,5.59
2008-11-01,1020,1457,F,350,AL,8,11.18
2008-11-15,1020,1457,F,350,AL,4,5.59
2008-11-29,1020,1457,F,350,AL,4,5.59
2008-12-27,1020,1457,F,350,AL,8,11.18
2008-01-05,1020,1457,M,350,AL,4.22,12.57
2008-01-12,1020,1457,M,350,AL,2,10.48
2008-01-19,1020,1457,M,350,AL,6.4,17.47
2008-01-26,1020,1457,M,350,AL,4.82,11.46
2008-02-02,1020,1457,M,350,AL,6,19.94
2008-03-01,1020,1457,M,350,AL,3.4,6.99
2008-03-15,1020,1457,M,350,AL,1.4,6.99
2008-03-22,1020,1457,M,350,AL,3.4,6.99
2008-04-05,1020,1457,M,350,AL,3.4,5.94
2008-04-12,1020,1457,M,350,AL,3.4,5.94
2008-05-24,1020,1457,M,350,AL,3.4,6.99
2008-06-07,1020,1457,M,350,AL,6.8,13.98
2008-06-21,1020,1457,M,350,AL,6.8,13.98
2008-07-12,1020,1457,M,350,AL,3.4,6.99
2008-07-26,1020,1457,M,350,AL,4.8,13.98
2008-08-09,1020,1457,M,350,AL,3.4,6.99
2008-08-30,1020,1457,M,350,AL,4.8,13.98
2008-09-06,1020,1457,M,350,AL,4.8,13.98
2008-09-20,1020,1457,M,350,AL,1.4,6.99
2008-09-27,1020,1457,M,350,AL,3.4,6.99
2008-10-04,1020,1457,M,350,AL,3.4,6.99
2008-10-25,1020,1457,M,350,AL,3.4,6.99
2008-11-15,1020,1457,M,350,AL,3.4,6.99
2008-12-06,1020,1457,M,350,AL,3.4,6.99
2008-03-22,1020,1457,F,351,AL,8,11.18
2008-04-12,1020,1457,F,351,AL,4,5.59
2008-06-14,1020,1457,F,351,AL,4,5.59
2008-06-28,1020,1457,F,351,AL,4,5.59
2008-08-02,1020,1457,F,351,AL,4,5.59
2008-11-15,1020,1457,F,351,AL,4,5.59
2008-11-29,1020,1457,F,351,AL,4,5.59
2008-01-05,1020,1457,F,352,AL,4,5.59
2008-01-19,1020,1457,F,352,AL,4,5.59
2008-02-16,1020,1457,F,352,AL,4,5.59
2008-03-01,1020,1457,F,352,AL,4,5.59
2008-03-29,1020,1457,F,352,AL,4,5.59
2008-04-12,1020,1457,F,352,AL,4,5.59
2008-05-03,1020,1457,F,352,AL,4,5.59
2008-06-07,1020,1457,F,352,AL,4,5.59
2008-07-05,1020,1457,F,352,AL,4,5.59
2008-11-01,1020,1457,F,352,AL,4,5.59
2008-12-20,1020,1457,F,352,AL,4,5.59
2008-01-05,1020,1457,M,352,AL,6.8,13.98
2008-01-12,1020,1457,M,352,AL,13.6,27.96
2008-01-19,1020,1457,M,352,AL,14.5,41.94
2008-01-26,1020,1457,M,352,AL,4.8,13.98
2008-02-02,1020,1457,M,352,AL,30.7,62.91
2008-02-09,1020,1457,M,352,AL,18.5,41.94
2008-02-16,1020,1457,M,352,AL,11.7,27.96
2008-02-23,1020,1457,M,352,AL,17.1,32.85
2008-03-01,1020,1457,M,352,AL,10.2,20.97
2008-03-08,1020,1457,M,352,AL,20.4,41.94
2008-03-15,1020,1457,M,352,AL,10.3,20.97
2008-03-29,1020,1457,M,352,AL,6.8,11.88
2008-04-05,1020,1457,M,352,AL,13.6,23.76
2008-04-12,1020,1457,M,352,AL,4.9,11.88
2008-04-26,1020,1457,M,352,AL,10.2,20.97
2008-05-03,1020,1457,M,352,AL,4.8,13.98
2008-05-10,1020,1457,M,352,AL,4.8,11.88
2008-05-17,1020,1457,M,352,AL,3.4,5.94
2008-05-24,1020,1457,M,352,AL,6.9,12.93
2008-06-07,1020,1457,M,352,AL,8.2,20.97
2008-06-14,1020,1457,M,352,AL,3.4,6.99
2008-06-21,1020,1457,M,352,AL,10.4,20.97
2008-06-28,1020,1457,M,352,AL,10.2,20.97
2008-07-05,1020,1457,M,352,AL,3.4,6.99
2008-07-12,1020,1457,M,352,AL,3.4,6.99
2008-07-19,1020,1457,M,352,AL,20.4,41.94
2008-07-26,1020,1457,M,352,AL,8.2,20.97
2008-08-02,1020,1457,M,352,AL,6.8,13.98
2008-08-09,1020,1457,M,352,AL,3.4,6.99
2008-08-16,1020,1457,M,352,AL,10.2,19.97
2008-08-23,1020,1457,M,352,AL,3.4,6.99
2008-08-30,1020,1457,M,352,AL,6.8,12.98
2008-09-06,1020,1457,M,352,AL,10.2,18.86
2008-09-13,1020,1457,M,352,AL,10.3,13.95
2008-09-20,1020,1457,M,352,AL,13.8,17.43
2008-09-27,1020,1457,M,352,AL,9.6,27.96
2008-10-04,1020,1457,M,352,AL,5.4,13.98
2008-10-11,1020,1457,M,352,AL,3.4,6.99
2008-10-18,1020,1457,M,352,AL,17,29.7
2008-10-25,1020,1457,M,352,AL,8.8,20.97
2008-11-01,1020,1457,M,352,AL,17.6,41.94
2008-11-08,1020,1457,M,352,AL,17,34.95
2008-11-15,1020,1457,M,352,AL,3.4,13.98
2008-11-29,1020,1457,M,352,AL,4.8,13.98
