week_end,product_group_code,product_module_code,channel_code,store_zip3,fips_state_descr,volume,sales
2011-04-16,1020,1460,D,350,AL,4.23,5
2011-05-07,1020,1460,D,350,AL,12.69,15
2011-05-14,1020,1460,D,350,AL,4.23,5
2011-05-28,1020,1460,D,350,AL,12.69,15
2011-06-04,1020,1460,D,350,AL,8.46,10
2011-06-25,1020,1460,D,350,AL,4.23,5
2011-07-02,1020,1460,D,350,AL,8.46,10
2011-07-16,1020,1460,D,350,AL,8.46,10
2011-07-23,1020,1460,D,350,AL,21.15,23.5
2011-07-30,1020,1460,D,350,AL,4.23,5
2011-08-06,1020,1460,D,350,AL,4.23,5
2011-08-13,1020,1460,D,350,AL,8.46,10
2011-09-10,1020,1460,D,350,AL,4.23,5
2011-10-01,1020,1460,D,350,AL,4.23,5
2011-10-15,1020,1460,D,350,AL,4.23,5
2011-10-29,1020,1460,D,350,AL,4.23,5
2011-11-05,1020,1460,D,350,AL,4.23,5
2011-12-24,1020,1460,D,350,AL,4.23,5
2011-12-31,1020,1460,D,350,AL,4.23,5
2011-01-01,1020,1460,F,350,AL,30,35.1
2011-01-08,1020,1460,F,350,AL,12,13.86
2011-01-15,1020,1460,F,350,AL,18,22.84
2011-01-22,1020,1460,F,350,AL,9,11.47
2011-01-29,1020,1460,F,350,AL,18,23.24
2011-02-05,1020,1460,F,350,AL,21,28.03
2011-02-12,1020,1460,F,350,AL,24,30.22
2011-02-19,1020,1460,F,350,AL,12,15.26
2011-02-26,1020,1460,F,350,AL,12,16.06
2011-03-05,1020,1460,F,350,AL,18,20.74
2011-03-12,1020,1460,F,350,AL,15,19.85
2011-03-19,1020,1460,F,350,AL,33,40.29
2011-03-26,1020,1460,F,350,AL,24,32.52
2011-04-02,1020,1460,F,350,AL,21,27.23
2011-04-09,1020,1460,F,350,AL,6,8.28
2011-04-16,1020,1460,F,350,AL,9,10.57
2011-04-23,1020,1460,F,350,AL,12,14.96
2011-04-30,1020,1460,F,350,AL,15,15
2011-05-07,1020,1460,F,350,AL,15,15
2011-05-14,1020,1460,F,350,AL,12,14.97
2011-05-21,1020,1460,F,350,AL,30,30
2011-05-28,1020,1460,F,350,AL,12,11.97
2011-06-04,1020,1460,F,350,AL,42,41.97
2011-06-11,1020,1460,F,350,AL,24,25.97
2011-06-18,1020,1460,F,350,AL,18,17.97
2011-06-25,1020,1460,F,350,AL,27,27.96
2011-07-02,1020,1460,F,350,AL,15,14.98
2011-07-09,1020,1460,F,350,AL,18,18.97
2011-07-16,1020,1460,F,350,AL,9,10.57
2011-07-23,1020,1460,F,350,AL,33,36.82
2011-07-30,1020,1460,F,350,AL,21,23.95
2011-08-06,1020,1460,F,350,AL,9,12.07
2011-08-13,1020,1460,F,350,AL,36,47.68
2011-08-20,1020,1460,F,350,AL,24,27.07
2011-08-27,1020,1460,F,350,AL,12,15.27
2011-09-03,1020,1460,F,350,AL,21,20.23
2011-09-10,1020,1460,F,350,AL,21,28.03
2011-09-17,1020,1460,F,350,AL,15,17.55
2011-09-24,1020,1460,F,350,AL,12,12.79
2011-10-01,1020,1460,F,350,AL,15,15.86
2011-10-08,1020,1460,F,350,AL,12,15.96
2011-10-15,1020,1460,F,350,AL,48,64.44
2011-10-22,1020,1460,F,350,AL,9,12.07
2011-10-29,1020,1460,F,350,AL,18,16.04
2011-11-05,1020,1460,F,350,AL,36,43.38
2011-11-12,1020,1460,F,350,AL,15,19.55
2011-11-19,1020,1460,F,350,AL,9,11.77
2011-11-26,1020,1460,F,350,AL,33,43.49
2011-12-03,1020,1460,F,350,AL,30,39.9
2011-12-10,1020,1460,F,350,AL,21,24.63
2011-12-17,1020,1460,F,350,AL,36,46.98
2011-12-24,1020,1460,F,350,AL,30,36.7
2011-12-31,1020,1460,F,350,AL,33,42.59
2011-01-01,1020,1460,M,350,AL,3,2.74
2011-01-29,1020,1460,M,350,AL,3,2.74
2011-02-05,1020,1460,M,350,AL,3,3.47
2011-02-12,1020,1460,M,350,AL,3,2.74
2011-04-02,1020,1460,M,350,AL,9,9.05
2011-05-07,1020,1460,M,350,AL,3,3.47
2011-05-14,1020,1460,M,350,AL,6,6.26
2011-06-11,1020,1460,M,350,AL,3,2.79
2011-06-25,1020,1460,M,350,AL,6,5.02
2011-07-02,1020,1460,M,350,AL,6,5.48
2011-07-16,1020,1460,M,350,AL,6,6.21
2011-07-30,1020,1460,M,350,AL,3,3.47
2011-08-13,1020,1460,M,350,AL,1.34,16.99
2011-08-27,1020,1460,M,350,AL,3,2.74
2011-09-03,1020,1460,M,350,AL,3,2.74
2011-10-15,1020,1460,M,350,AL,1.34,16.99
2011-10-22,1020,1460,M,350,AL,3,2.74
2011-12-03,1020,1460,M,350,AL,6,6.6
2011-12-10,1020,1460,M,350,AL,3,2.74
2011-12-17,1020,1460,M,350,AL,12,11.01
2011-12-24,1020,1460,M,350,AL,6,6.07
2011-12-31,1020,1460,M,350,AL,3,2.79
2011-05-07,1020,1460,D,351,AL,4.23,5
2011-05-28,1020,1460,D,351,AL,4.23,5
2011-07-23,1020,1460,D,351,AL,4.23,5
2011-09-10,1020,1460,D,351,AL,4.23,5
2011-01-01,1020,1460,F,351,AL,18,21.44
2011-01-08,1020,1460,F,351,AL,3,4.49
2011-01-15,1020,1460,F,351,AL,9,8.97
2011-01-22,1020,1460,F,351,AL,12,13.76
2011-01-29,1020,1460,F,351,AL,15,19.95
2011-02-05,1020,1460,F,351,AL,9,11.77
2011-02-12,1020,1460,F,351,AL,15,20.25
2011-02-19,1020,1460,F,351,AL,6,7.78
2011-02-26,1020,1460,F,351,AL,15,19.75
2011-03-05,1020,1460,F,351,AL,9,12.27
2011-03-12,1020,1460,F,351,AL,9,11.97
2011-03-19,1020,1460,F,351,AL,6,8.48
2011-03-26,1020,1460,F,351,AL,12,14.36
2011-04-09,1020,1460,F,351,AL,6,8.28
2011-04-16,1020,1460,F,351,AL,3,3.99
2011-04-23,1020,1460,F,351,AL,18,17.99
2011-04-30,1020,1460,F,351,AL,3,3
2011-05-07,1020,1460,F,351,AL,3,2.99
2011-05-14,1020,1460,F,351,AL,6,6
2011-05-21,1020,1460,F,351,AL,24,26.97
2011-05-28,1020,1460,F,351,AL,9,8.99
2011-06-04,1020,1460,F,351,AL,6,5.98
2011-06-11,1020,1460,F,351,AL,3,3.99
2011-06-18,1020,1460,F,351,AL,12,11.98
2011-06-25,1020,1460,F,351,AL,24,23.98
2011-07-02,1020,1460,F,351,AL,6,5.98
2011-07-09,1020,1460,F,351,AL,6,6.99
2011-07-16,1020,1460,F,351,AL,12,12.96
2011-07-23,1020,1460,F,351,AL,9,8.99
2011-07-30,1020,1460,F,351,AL,9,8.99
2011-08-06,1020,1460,F,351,AL,3,3.79
2011-08-13,1020,1460,F,351,AL,3,3.99
2011-08-20,1020,1460,F,351,AL,12,14.36
2011-08-27,1020,1460,F,351,AL,6,7.78
2011-09-10,1020,1460,F,351,AL,3,3.99
2011-09-17,1020,1460,F,351,AL,3,1.49
2011-09-24,1020,1460,F,351,AL,9,9
2011-10-01,1020,1460,F,351,AL,15,17.37
2011-10-08,1020,1460,F,351,AL,18,8.94
2011-10-15,1020,1460,F,351,AL,9,9.27
2011-10-22,1020,1460,F,351,AL,3,3.99
2011-11-12,1020,1460,F,351,AL,3,4.49
2011-11-19,1020,1460,F,351,AL,3,3.99
2011-11-26,1020,1460,F,351,AL,21,27.43
2011-12-03,1020,1460,F,351,AL,9,11.97
2011-12-10,1020,1460,F,351,AL,3,4.49
2011-12-17,1020,1460,F,351,AL,9,11.97
2011-12-24,1020,1460,F,351,AL,18,23.84
2011-12-31,1020,1460,F,351,AL,15,20.25
2011-01-01,1020,1460,M,351,AL,1.34,16.99
2011-04-30,1020,1460,D,352,AL,4.23,5
2011-05-14,1020,1460,D,352,AL,4.23,5
2011-05-21,1020,1460,D,352,AL,4.23,5
2011-05-28,1020,1460,D,352,AL,4.23,5
2011-06-11,1020,1460,D,352,AL,12.69,15
2011-06-25,1020,1460,D,352,AL,8.46,10
2011-07-02,1020,1460,D,352,AL,8.46,10
2011-07-09,1020,1460,D,352,AL,8.46,10
2011-08-27,1020,1460,D,352,AL,4.23,5
2011-09-03,1020,1460,D,352,AL,12.69,15
2011-09-10,1020,1460,D,352,AL,25.38,30
2011-09-17,1020,1460,D,352,AL,4.23,5
2011-09-24,1020,1460,D,352,AL,4.23,5
2011-10-01,1020,1460,D,352,AL,4.23,5
2011-10-08,1020,1460,D,352,AL,8.46,6.26
2011-10-15,1020,1460,D,352,AL,12.69,11.25
2011-10-22,1020,1460,D,352,AL,4.23,5
2011-01-01,1020,1460,F,352,AL,33,41.29
2011-01-08,1020,1460,F,352,AL,15,15.65
