ZIP_3_DIGIT,pct_inlaborforce,year
364,59.117440019,2006
365,59.117440019,2006
350,59.277116446,2006
359,59.277116446,2006
362,59.277116446,2006
350,61.494108799,2006
351,61.494108799,2006
355,61.494108799,2006
356,61.494108799,2006
359,61.494108799,2006
350,57.470879636,2006
351,57.470879636,2006
360,57.470879636,2006
351,54.79083461,2006
359,54.79083461,2006
362,54.79083461,2006
363,59.803201645,2006
350,63.065925338,2006
351,63.065925338,2006
352,63.065925338,2006
354,63.065925338,2006
368,63.614398422,2006
357,66.888378533,2006
358,66.888378533,2006
365,59.926616518,2006
366,59.926616518,2006
360,63.776096505,2006
361,63.776096505,2006
350,61.535805769,2006
351,61.535805769,2006
356,61.535805769,2006
357,61.535805769,2006
350,72.039771235,2006
351,72.039771235,2006
352,72.039771235,2006
350,62.86612964,2006
351,62.86612964,2006
354,62.86612964,2006
355,62.86612964,2006
995,74.222170143,2006
997,70.70265796,2006
996,66.518528095,2006
856,54.339083926,2006
859,66.439776932,2006
860,66.439776932,2006
863,66.439776932,2006
864,66.439776932,2006
850,66.251873425,2006
851,66.251873425,2006
852,66.251873425,2006
853,66.251873425,2006
855,66.251873425,2006
853,54.303000688,2006
860,54.303000688,2006
864,54.303000688,2006
859,55.104442483,2006
860,55.104442483,2006
865,55.104442483,2006
853,61.365430203,2006
856,61.365430203,2006
857,61.365430203,2006
851,53.965094057,2006
852,53.965094057,2006
855,53.965094057,2006
856,53.965094057,2006
857,53.965094057,2006
853,54.648063235,2006
860,54.648063235,2006
863,54.648063235,2006
853,54.630821332,2006
727,67.200474496,2006
724,65.537324379,2006
720,67.335708979,2006
721,67.335708979,2006
719,55.91515136,2006
720,55.91515136,2006
721,55.91515136,2006
716,59.568588438,2006
720,59.568588438,2006
721,59.568588438,2006
720,66.994293073,2006
721,66.994293073,2006
722,66.994293073,2006
719,65.348436672,2006
720,65.348436672,2006
721,65.348436672,2006
722,65.348436672,2006
729,64.787472518,2006
727,68.003655848,2006
729,68.003655848,2006
945,66.544690216,2006
946,66.544690216,2006
947,66.544690216,2006
950,66.544690216,2006
953,66.544690216,2006
959,59.049166913,2006
945,66.040253697,2006
946,66.040253697,2006
947,66.040253697,2006
948,66.040253697,2006
956,67.50770416,2006
957,67.50770416,2006
961,67.50770416,2006
932,62.212914581,2006
936,62.212914581,2006
937,62.212914581,2006
938,62.212914581,2006
955,63.344036174,2006
922,52.33229303,2006
932,61.625417278,2006
933,61.625417278,2006
934,61.625417278,2006
935,61.625417278,2006
932,59.303939265,2006
936,59.303939265,2006
900,64.614460008,2006
902,64.614460008,2006
903,64.614460008,2006
904,64.614460008,2006
905,64.614460008,2006
906,64.614460008,2006
907,64.614460008,2006
908,64.614460008,2006
910,64.614460008,2006
911,64.614460008,2006
912,64.614460008,2006
913,64.614460008,2006
914,64.614460008,2006
915,64.614460008,2006
916,64.614460008,2006
917,64.614460008,2006
918,64.614460008,2006
930,64.614460008,2006
932,64.614460008,2006
935,64.614460008,2006
936,52.75579734,2006
949,65.991595658,2006
954,57.454647729,2006
955,57.454647729,2006
936,61.945905334,2006
953,61.945905334,2006
934,65.049716599,2006
939,65.049716599,2006
950,65.049716599,2006
945,63.84268949,2006
954,63.84268949,2006
956,63.061714686,2006
957,63.061714686,2006
959,63.061714686,2006
961,63.061714686,2006
906,67.086604364,2006
907,67.086604364,2006
908,67.086604364,2006
926,67.086604364,2006
927,67.086604364,2006
928,67.086604364,2006
956,64.633263464,2006
957,64.633263464,2006
959,64.633263464,2006
961,64.633263464,2006
917,62.29136364,2006
920,62.29136364,2006
922,62.29136364,2006
923,62.29136364,2006
925,62.29136364,2006
928,62.29136364,2006
945,64.566330079,2006
956,64.566330079,2006
957,64.566330079,2006
958,64.566330079,2006
917,63.148274161,2006
922,63.148274161,2006
923,63.148274161,2006
924,63.148274161,2006
925,63.148274161,2006
928,63.148274161,2006
935,63.148274161,2006
919,65.935100398,2006
920,65.935100398,2006
921,65.935100398,2006
925,65.935100398,2006
926,65.935100398,2006
940,66.794678754,2006
941,66.794678754,2006
952,62.544937133,2006
953,62.544937133,2006
956,62.544937133,2006
934,60.363658353,2006
940,67.170030674,2006
941,67.170030674,2006
943,67.170030674,2006
944,67.170030674,2006
930,63.01508468,2006
931,63.01508468,2006
932,63.01508468,2006
934,63.01508468,2006
940,66.219976523,2006
943,66.219976523,2006
945,66.219976523,2006
950,66.219976523,2006
951,66.219976523,2006
940,68.157964115,2006
950,68.157964115,2006
960,58.065720687,2006
945,64.430193956,2006
956,64.430193956,2006
945,66.896060496,2006
949,66.896060496,2006
954,66.896060496,2006
952,62.179914426,2006
953,62.179914426,2006
956,65.217947261,2006
958,65.217947261,2006
959,65.217947261,2006
932,60.446824617,2006
936,60.446824617,2006
902,67.742114371,2006
913,67.742114371,2006
930,67.742114371,2006
932,67.742114371,2006
956,62.615405171,2006
957,62.615405171,2006
959,62.615405171,2006
956,62.645354343,2006
959,62.645354343,2006
800,71.519698959,2006
801,71.519698959,2006
802,71.519698959,2006
806,71.519698959,2006
807,71.519698959,2006
800,71.599496976,2006
801,71.599496976,2006
802,71.599496976,2006
800,69.928669206,2006
803,69.928669206,2006
804,69.928669206,2006
805,69.928669206,2006
800,68.250005689,2006
801,68.250005689,2006
802,68.250005689,2006
800,79.042248642,2006
801,79.042248642,2006
804,79.042248642,2006
801,70.993299243,2006
808,70.993299243,2006
809,70.993299243,2006
810,70.993299243,2006
800,70.719449307,2006
801,70.719449307,2006
802,70.719449307,2006
803,70.719449307,2006
804,70.719449307,2006
805,68.984060005,2006
806,68.984060005,2006
815,66.110300066,2006
816,66.110300066,2006
808,60.040492213,2006
810,60.040492213,2006
812,60.040492213,2006
805,71.086652302,2006
806,71.086652302,2006
807,71.086652302,2006
64,66.669287422,2006
66,66.669287422,2006
67,66.669287422,2006
68,66.669287422,2006
69,66.669287422,2006
60,67.532727778,2006
61,67.532727778,2006
64,67.532727778,2006
67,67.532727778,2006
60,70.219437776,2006
67,70.219437776,2006
68,70.219437776,2006
60,68.004530867,2006
64,68.004530867,2006
60,67.462396823,2006
64,67.462396823,2006
65,67.462396823,2006
67,67.462396823,2006
62,67.831137474,2006
63,67.831137474,2006
64,67.831137474,2006
60,69.799232841,2006
62,69.799232841,2006
64,69.799232841,2006
62,71.052104314,2006
63,71.052104314,2006
199,64.718208408,2006
197,66.326716445,2006
198,66.326716445,2006
199,66.326716445,2006
199,59.924271938,2006
200,66.781581405,2006
202,66.781581405,2006
203,66.781581405,2006
204,66.781581405,2006
205,66.781581405,2006
320,62.747139497,2006
326,62.747139497,2006
324,64.604900659,2006
327,58.045500078,2006
328,58.045500078,2006
329,58.045500078,2006
330,66.165462123,2006
