ZIP_3_DIGIT,pct_female,year
364,50.749577328,2006
365,50.749577328,2006
350,51.879932331,2006
359,51.879932331,2006
362,51.879932331,2006
350,50.536870066,2006
351,50.536870066,2006
355,50.536870066,2006
356,50.536870066,2006
359,50.536870066,2006
357,52.112800306,2006
359,52.112800306,2006
350,50.149297114,2006
351,50.149297114,2006
360,50.149297114,2006
351,52.018149804,2006
359,52.018149804,2006
362,52.018149804,2006
363,52.479615304,2006
350,52.641845592,2006
351,52.641845592,2006
352,52.641845592,2006
354,52.641845592,2006
356,52.59810447,2006
368,50.788274859,2006
356,49.612124893,2006
357,49.612124893,2006
357,50.896298804,2006
358,50.896298804,2006
350,51.599472386,2006
351,51.599472386,2006
357,51.599472386,2006
359,51.599472386,2006
365,52.179227379,2006
366,52.179227379,2006
360,52.483551087,2006
361,52.483551087,2006
350,50.703333131,2006
351,50.703333131,2006
356,50.703333131,2006
357,50.703333131,2006
350,49.035270984,2006
351,49.035270984,2006
359,49.035270984,2006
350,50.379387368,2006
351,50.379387368,2006
352,50.379387368,2006
350,50.701996985,2006
351,50.701996985,2006
362,50.701996985,2006
350,51.750711327,2006
351,51.750711327,2006
354,51.750711327,2006
355,51.750711327,2006
350,51.539252363,2006
351,51.539252363,2006
355,51.539252363,2006
995,49.128094726,2006
997,47.668119049,2006
996,48.598409543,2006
859,50.521668213,2006
860,50.521668213,2006
865,50.521668213,2006
856,50.228167537,2006
859,50.988771778,2006
860,50.988771778,2006
863,50.988771778,2006
864,50.988771778,2006
850,49.676430414,2006
851,49.676430414,2006
852,49.676430414,2006
853,49.676430414,2006
855,49.676430414,2006
853,50.65247235,2006
860,50.65247235,2006
864,50.65247235,2006
859,50.508532393,2006
860,50.508532393,2006
865,50.508532393,2006
853,51.143114368,2006
856,51.143114368,2006
857,51.143114368,2006
851,47.673015838,2006
852,47.673015838,2006
855,47.673015838,2006
856,47.673015838,2006
857,47.673015838,2006
853,50.816771948,2006
860,50.816771948,2006
863,50.816771948,2006
853,50.255125163,2006
727,49.891606519,2006
724,50.814786274,2006
720,51.489298307,2006
721,51.489298307,2006
719,51.712832584,2006
720,51.712832584,2006
721,51.712832584,2006
716,50.956543302,2006
720,50.956543302,2006
721,50.956543302,2006
720,52.029707148,2006
721,52.029707148,2006
722,52.029707148,2006
719,50.493491024,2006
720,50.493491024,2006
721,50.493491024,2006
722,50.493491024,2006
729,51.066305414,2006
727,49.434648109,2006
729,49.434648109,2006
720,50.72216097,2006
721,50.72216097,2006
725,50.72216097,2006
945,50.571349763,2006
946,50.571349763,2006
947,50.571349763,2006
950,50.571349763,2006
