ZIP_3_DIGIT,popcount,year
321,178899,2006
322,178899,2006
326,178899,2006
341,314649,2006
320,76170,2006
326,76170,2006
320,837964,2006
322,837964,2006
325,295426,2006
320,83084,2006
321,83084,2006
335,165409,2006
344,165409,2006
346,165409,2006
338,97987,2006
339,97987,2006
342,97987,2006
349,97987,2006
335,1157738,2006
336,1157738,2006
338,1157738,2006
329,130100,2006
321,290435,2006
327,290435,2006
347,290435,2006
339,571344,2006
341,571344,2006
323,245625,2006
335,313298,2006
338,313298,2006
342,313298,2006
321,316183,2006
326,316183,2006
327,316183,2006
344,316183,2006
334,139393,2006
349,139393,2006
330,2402208,2006
331,2402208,2006
332,2402208,2006
330,74737,2006
320,66707,2006
322,66707,2006
325,180291,2006
327,1043500,2006
328,1043500,2006
347,1043500,2006
328,244045,2006
338,244045,2006
347,244045,2006
349,244045,2006
334,1274013,2006
335,450171,2006
346,450171,2006
336,924413,2006
337,924413,2006
346,924413,2006
335,561606,2006
338,561606,2006
347,561606,2006
320,74083,2006
321,74083,2006
326,74083,2006
320,169224,2006
321,169224,2006
322,169224,2006
349,252724,2006
325,144561,2006
342,369535,2006
327,406875,2006
321,68769,2006
335,68769,2006
344,68769,2006
347,68769,2006
321,496575,2006
327,496575,2006
301,91266,2006
310,154903,2006
312,154903,2006
301,107325,2006
313,241411,2006
314,241411,2006
300,195327,2006
301,195327,2006
305,195327,2006
306,112787,2006
302,271240,2006
303,271240,2006
300,679325,2006
301,679325,2006
303,679325,2006
311,679325,2006
308,106887,2006
309,106887,2006
302,115291,2006
300,723602,2006
302,723602,2006
303,723602,2006
311,723602,2006
399,723602,2006
317,94773,2006
398,94773,2006
301,119557,2006
302,106671,2006
311,106671,2006
301,95322,2006
307,95322,2006
300,150968,2006
301,150968,2006
305,150968,2006
300,960009,2006
302,960009,2006
303,960009,2006
311,960009,2006
315,73630,2006
300,757104,2006
303,757104,2006
305,757104,2006
306,757104,2006
311,757104,2006
305,173256,2006
302,178033,2006
310,127530,2006
316,97844,2006
318,188660,2006
319,188660,2006
300,91451,2006
302,91451,2006
310,91451,2006
301,121530,2006
308,194398,2006
309,194398,2006
300,80332,2006
302,80332,2006
300,79388,2006
306,79388,2006
307,92999,2006
967,171191,2006
967,909863,2006
968,909863,2006
967,141300,2006
836,359035,2006
837,359035,2006
832,78443,2006
832,94630,2006
834,94630,2006
836,173302,2006
838,131507,2006
833,75541,2006
623,67221,2006
609,185682,2006
618,185682,2006
619,185682,2006
600,5288655,2006
601,5288655,2006
602,5288655,2006
603,5288655,2006
604,5288655,2006
605,5288655,2006
606,5288655,2006
607,5288655,2006
608,5288655,2006
601,100139,2006
605,100139,2006
610,100139,2006
600,932670,2006
601,932670,2006
604,932670,2006
605,932670,2006
600,493735,2006
601,493735,2006
605,493735,2006
604,109090,2006
609,109090,2006
604,88158,2006
605,88158,2006
600,713076,2006
604,113065,2006
605,113065,2006
613,113065,2006
600,312373,2006
601,312373,2006
610,312373,2006
617,161202,2006
618,161202,2006
617,109309,2006
618,109309,2006
619,109309,2006
625,109309,2006
620,265303,2006
622,265303,2006
614,182495,2006
615,182495,2006
616,182495,2006
612,147545,2006
620,260919,2006
622,260919,2006
625,193524,2006
626,193524,2006
627,193524,2006
615,130559,2006
616,130559,2006
617,130559,2006
626,130559,2006
609,81941,2006
618,81941,2006
604,668217,2006
605,668217,2006
609,668217,2006
601,295635,2006
610,295635,2006
611,295635,2006
467,347316,2006
468,347316,2006
461,74444,2006
472,74444,2006
474,74444,2006
471,103569,2006
472,103569,2006
460,114879,2006
473,114879,2006
465,198105,2006
467,198105,2006
471,72570,2006
460,69825,2006
469,69825,2006
473,69825,2006
460,250979,2006
462,250979,2006
460,65050,2006
461,65050,2006
462,65050,2006
473,65050,2006
460,131204,2006
461,131204,2006
462,131204,2006
479,131204,2006
460,84500,2006
469,84500,2006
461,133316,2006
462,133316,2006
465,76541,2006
467,76541,2006
469,76541,2006
463,494202,2006
464,494202,2006
463,110479,2006
465,110479,2006
460,130575,2006
469,130575,2006
473,130575,2006
460,865504,2006
461,865504,2006
462,865504,2006
461,122613,2006
472,122613,2006
474,122613,2006
461,70290,2006
474,70290,2006
463,160105,2006
464,160105,2006
465,266678,2006
466,266678,2006
460,156169,2006
469,156169,2006
479,156169,2006
476,173356,2006
477,173356,2006
478,103009,2006
473,68846,2006
506,126106,2006
507,126106,2006
520,92384,2006
522,118038,2006
523,118038,2006
524,118038,2006
527,118038,2006
522,201853,2006
523,201853,2006
524,201853,2006
500,408888,2006
501,408888,2006
502,408888,2006
503,408888,2006
509,408888,2006
515,90218,2006
527,162621,2006
528,162621,2006
500,80145,2006
501,80145,2006
502,80145,2006
510,102972,2006
511,102972,2006
660,112123,2006
664,112123,2006
665,112123,2006
660,516731,2006
662,516731,2006
660,74177,2006
661,74177,2006
670,470895,2006
671,470895,2006
672,470895,2006
675,470895,2006
660,172693,2006
664,172693,2006
665,172693,2006
666,172693,2006
660,155509,2006
661,155509,2006
662,155509,2006
410,110080,2006
452,110080,2006
400,72851,2006
401,72851,2006
402,72851,2006
410,86866,2006
422,66989,2006
423,66989,2006
