ZIP_3_DIGIT,pct_lsHS,year
364,17.7,2006
365,17.7,2006
350,18.390804598,2006
359,18.390804598,2006
362,18.390804598,2006
350,16.45,2006
351,16.45,2006
355,16.45,2006
356,16.45,2006
359,16.45,2006
357,37.162837163,2006
359,37.162837163,2006
350,23.8,2006
351,23.8,2006
360,23.8,2006
351,24.175824176,2006
359,24.175824176,2006
362,24.175824176,2006
363,22.45,2006
350,16.616616617,2006
351,16.616616617,2006
352,16.616616617,2006
354,16.616616617,2006
356,16.016016016,2006
368,10.5,2006
356,23.811905953,2006
357,23.811905953,2006
357,14.457228614,2006
358,14.457228614,2006
350,28.671328671,2006
351,28.671328671,2006
357,28.671328671,2006
359,28.671328671,2006
365,20.15,2006
366,20.15,2006
360,17.55,2006
361,17.55,2006
350,24.787606197,2006
351,24.787606197,2006
356,24.787606197,2006
357,24.787606197,2006
350,15.392303848,2006
351,15.392303848,2006
359,15.392303848,2006
350,12.806403202,2006
351,12.806403202,2006
352,12.806403202,2006
350,24.312156078,2006
351,24.312156078,2006
362,24.312156078,2006
350,14.6,2006
351,14.6,2006
354,14.6,2006
355,14.6,2006
350,32.116058029,2006
351,32.116058029,2006
355,32.116058029,2006
995,12.693653173,2006
997,10.4,2006
996,22.35,2006
859,25.974025974,2006
860,25.974025974,2006
865,25.974025974,2006
856,22.05,2006
859,15.457728864,2006
860,15.457728864,2006
863,15.457728864,2006
864,15.457728864,2006
850,18.9,2006
851,18.9,2006
852,18.9,2006
853,18.9,2006
855,18.9,2006
853,25.512756378,2006
860,25.512756378,2006
864,25.512756378,2006
859,25.55,2006
860,25.55,2006
865,25.55,2006
853,16.15,2006
856,16.15,2006
857,16.15,2006
851,21.7,2006
852,21.7,2006
855,21.7,2006
856,21.7,2006
857,21.7,2006
853,17.05,2006
860,17.05,2006
863,17.05,2006
853,26.1,2006
727,17.391304348,2006
724,14.3,2006
720,7.346326837,2006
721,7.346326837,2006
719,17.5,2006
720,17.5,2006
721,17.5,2006
716,17.608804402,2006
720,17.608804402,2006
721,17.608804402,2006
720,13.256628314,2006
721,13.256628314,2006
722,13.256628314,2006
719,15.25,2006
720,15.25,2006
721,15.25,2006
722,15.25,2006
729,18.059029515,2006
727,18.740629685,2006
729,18.740629685,2006
720,15.742128936,2006
721,15.742128936,2006
725,15.742128936,2006
945,14.757378689,2006
946,14.757378689,2006
947,14.757378689,2006
950,14.757378689,2006
953,14.757378689,2006
959,12.243878061,2006
945,13.65,2006
946,13.65,2006
947,13.65,2006
948,13.65,2006
956,10.8,2006
957,10.8,2006
961,10.8,2006
932,24.8,2006
936,24.8,2006
937,24.8,2006
938,24.8,2006
955,10.55,2006
922,31.568431568,2006
932,25.487256372,2006
933,25.487256372,2006
934,25.487256372,2006
935,25.487256372,2006
932,27.35,2006
936,27.35,2006
954,22.65,2006
900,22.85,2006
902,22.85,2006
903,22.85,2006
904,22.85,2006
905,22.85,2006
906,22.85,2006
907,22.85,2006
908,22.85,2006
910,22.85,2006
911,22.85,2006
912,22.85,2006
913,22.85,2006
914,22.85,2006
915,22.85,2006
916,22.85,2006
917,22.85,2006
918,22.85,2006
930,22.85,2006
932,22.85,2006
935,22.85,2006
936,30.8,2006
949,9.845077461,2006
954,17.85,2006
955,17.85,2006
936,32.35,2006
953,32.35,2006
934,27.336331834,2006
939,27.336331834,2006
950,27.336331834,2006
945,21.228771229,2006
954,21.228771229,2006
956,13.2,2006
957,13.2,2006
959,13.2,2006
961,13.2,2006
906,17.2,2006
907,17.2,2006
908,17.2,2006
926,17.2,2006
927,17.2,2006
928,17.2,2006
956,9.8,2006
957,9.8,2006
959,9.8,2006
961,9.8,2006
917,21.410705353,2006
920,21.410705353,2006
922,21.410705353,2006
923,21.410705353,2006
925,21.410705353,2006
928,21.410705353,2006
945,16.658329165,2006
956,16.658329165,2006
957,16.658329165,2006
958,16.658329165,2006
917,22.1,2006
922,22.1,2006
923,22.1,2006
924,22.1,2006
925,22.1,2006
928,22.1,2006
935,22.1,2006
919,14.25,2006
920,14.25,2006
921,14.25,2006
925,14.25,2006
926,14.25,2006
940,13.056528264,2006
941,13.056528264,2006
952,24.85,2006
953,24.85,2006
956,24.85,2006
934,11.05,2006
940,12.856428214,2006
941,12.856428214,2006
943,12.856428214,2006
944,12.856428214,2006
930,18.590704648,2006
931,18.590704648,2006
932,18.590704648,2006
934,18.590704648,2006
940,15.942028986,2006
943,15.942028986,2006
945,15.942028986,2006
950,15.942028986,2006
951,15.942028986,2006
940,13,2006
950,13,2006
960,11.755877939,2006
945,17.541229385,2006
956,17.541229385,2006
945,15.865865866,2006
949,15.865865866,2006
954,15.865865866,2006
952,22.861430715,2006
953,22.861430715,2006
956,22.5,2006
958,22.5,2006
959,22.5,2006
932,27.863931966,2006
936,27.863931966,2006
902,19.45,2006
913,19.45,2006
930,19.45,2006
932,19.45,2006
956,11.95,2006
957,11.95,2006
959,11.95,2006
956,26.236881559,2006
959,26.236881559,2006
800,27.563781891,2006
801,27.563781891,2006
802,27.563781891,2006
806,27.563781891,2006
807,27.563781891,2006
800,15.607803902,2006
801,15.607803902,2006
802,15.607803902,2006
800,8.3,2006
803,8.3,2006
804,8.3,2006
805,8.3,2006
800,20.1,2006
801,20.1,2006
802,20.1,2006
800,9.05,2006
801,9.05,2006
804,9.05,2006
801,12.243878061,2006
808,12.243878061,2006
809,12.243878061,2006
810,12.243878061,2006
800,14.55,2006
801,14.55,2006
802,14.55,2006
803,14.55,2006
804,14.55,2006
805,7.45,2006
806,7.45,2006
815,17.45,2006
816,17.45,2006
808,14.9,2006
810,14.9,2006
812,14.9,2006
805,17,2006
806,17,2006
807,17,2006
64,11.5,2006
66,11.5,2006
67,11.5,2006
68,11.5,2006
69,11.5,2006
60,14.307153577,2006
61,14.307153577,2006
64,14.307153577,2006
67,14.307153577,2006
60,9.364046069,2006
67,9.364046069,2006
68,9.364046069,2006
60,11.455727864,2006
64,11.455727864,2006
60,12.556278139,2006
64,12.556278139,2006
65,12.556278139,2006
67,12.556278139,2006
62,12.056028014,2006
63,12.056028014,2006
64,12.056028014,2006
60,8.55,2006
62,8.55,2006
64,8.55,2006
62,14.25,2006
63,14.25,2006
199,17.1,2006
197,14.85,2006
198,14.85,2006
199,14.85,2006
199,20.910455228,2006
200,14.9,2006
202,14.9,2006
203,14.9,2006
204,14.9,2006
205,14.9,2006
320,7.796101949,2006
326,7.796101949,2006
324,18.95947974,2006
327,14.1,2006
328,14.1,2006
329,14.1,2006
330,16.75,2006
331,16.75,2006
333,16.75,2006
334,16.75,2006
339,12.543728136,2006
342,12.543728136,2006
344,16.008004002,2006
346,16.008004002,2006
320,14.257128564,2006
321,14.257128564,2006
322,14.257128564,2006
326,14.257128564,2006
341,21.1,2006
320,24.55,2006
326,24.55,2006
320,14.614614615,2006
322,14.614614615,2006
325,14.35,2006
320,10.75,2006
321,10.75,2006
335,20.8,2006
344,20.8,2006
346,20.8,2006
338,32.766383192,2006
339,32.766383192,2006
342,32.766383192,2006
349,32.766383192,2006
335,16.04197901,2006
336,16.04197901,2006
338,16.04197901,2006
329,19.109554777,2006
321,20.3,2006
327,20.3,2006
347,20.3,2006
339,20.25,2006
341,20.25,2006
323,8.9,2006
335,17.35,2006
338,17.35,2006
342,17.35,2006
321,20.76038019,2006
326,20.76038019,2006
327,20.76038019,2006
344,20.76038019,2006
334,15.25,2006
349,15.25,2006
330,21.55,2006
331,21.55,2006
332,21.55,2006
330,20.55,2006
320,20.15,2006
322,20.15,2006
325,8.754377189,2006
327,15.207603802,2006
328,15.207603802,2006
347,15.207603802,2006
328,15.1,2006
338,15.1,2006
347,15.1,2006
349,15.1,2006
334,19.6,2006
335,22.261130565,2006
346,22.261130565,2006
336,15.207603802,2006
337,15.207603802,2006
346,15.207603802,2006
335,22.83858071,2006
338,22.83858071,2006
347,22.83858071,2006
320,23.95,2006
321,23.95,2006
326,23.95,2006
320,11.1,2006
321,11.1,2006
322,11.1,2006
349,21.510755378,2006
325,15,2006
342,15,2006
327,13.756878439,2006
321,26.663331666,2006
335,26.663331666,2006
344,26.663331666,2006
347,26.663331666,2006
321,16.383616384,2006
327,16.383616384,2006
301,26.55,2006
310,21.489255372,2006
312,21.489255372,2006
301,18.790604698,2006
313,14.792603698,2006
314,14.792603698,2006
300,20.110055028,2006
301,20.110055028,2006
305,20.110055028,2006
306,11.6,2006
302,22.56128064,2006
303,22.56128064,2006
300,14.864864865,2006
301,14.864864865,2006
303,14.864864865,2006
311,14.864864865,2006
308,14.807403702,2006
309,14.807403702,2006
302,18.75,2006
300,16.858429215,2006
302,16.858429215,2006
303,16.858429215,2006
311,16.858429215,2006
399,16.858429215,2006
317,22.011005503,2006
398,22.011005503,2006
301,16.8,2006
302,12.356178089,2006
311,12.356178089,2006
301,24.637681159,2006
307,24.637681159,2006
300,18.940529735,2006
301,18.940529735,2006
305,18.940529735,2006
300,15.192403798,2006
302,15.192403798,2006
303,15.192403798,2006
311,15.192403798,2006
315,21.389305347,2006
300,17.858929465,2006
303,17.858929465,2006
305,17.858929465,2006
306,17.858929465,2006
311,17.858929465,2006
305,26.45,2006
302,15.684315684,2006
310,14.942528736,2006
316,14.507253627,2006
318,14.757378689,2006
319,14.757378689,2006
300,20.989505247,2006
302,20.989505247,2006
310,20.989505247,2006
301,17.341329335,2006
308,17.8,2006
309,17.8,2006
300,20.860430215,2006
302,20.860430215,2006
300,30.934532734,2006
306,30.934532734,2006
307,40.129935032,2006
967,13.006503252,2006
967,9.645177411,2006
968,9.645177411,2006
967,12.887112887,2006
836,12.756378189,2006
837,12.756378189,2006
832,11.044477761,2006
832,13.2,2006
834,13.2,2006
836,19.940029985,2006
838,14.514514515,2006
833,19.1,2006
623,15.492253873,2006
609,6.543456543,2006
618,6.543456543,2006
619,6.543456543,2006
600,19.35967984,2006
601,19.35967984,2006
602,19.35967984,2006
603,19.35967984,2006
604,19.35967984,2006
605,19.35967984,2006
606,19.35967984,2006
607,19.35967984,2006
608,19.35967984,2006
601,7.7,2006
605,7.7,2006
610,7.7,2006
600,10.3,2006
601,10.3,2006
604,10.3,2006
605,10.3,2006
600,19.04047976,2006
601,19.04047976,2006
605,19.04047976,2006
604,17.24137931,2006
609,17.24137931,2006
604,15.042478761,2006
605,15.042478761,2006
600,14.985014985,2006
604,14.592703648,2006
605,14.592703648,2006
613,14.592703648,2006
600,9.195402299,2006
601,9.195402299,2006
610,9.195402299,2006
617,5.35,2006
618,5.35,2006
617,18.259129565,2006
618,18.259129565,2006
619,18.259129565,2006
625,18.259129565,2006
620,11.15,2006
622,11.15,2006
614,11.4,2006
615,11.4,2006
616,11.4,2006
612,14.992503748,2006
620,15.492253873,2006
622,15.492253873,2006
625,11.294352824,2006
626,11.294352824,2006
627,11.294352824,2006
615,15.892053973,2006
616,15.892053973,2006
