ZIP_3_DIGIT,pct_nhwhite,year
350,53.660916341,2006
351,53.660916341,2006
352,53.660916341,2006
354,53.660916341,2006
365,60.275088449,2006
366,60.275088449,2006
360,42.399801354,2006
361,42.399801354,2006
995,61.689651284,2006
997,71.127895377,2006
856,58.890418015,2006
850,59.450336338,2006
851,59.450336338,2006
852,59.450336338,2006
853,59.450336338,2006
855,59.450336338,2006
853,79.722559937,2006
860,79.722559937,2006
864,79.722559937,2006
853,57.165630447,2006
856,57.165630447,2006
857,57.165630447,2006
851,57.906429644,2006
852,57.906429644,2006
855,57.906429644,2006
856,57.906429644,2006
857,57.906429644,2006
853,82.783247486,2006
860,82.783247486,2006
863,82.783247486,2006
853,38.786222385,2006
720,57.931006625,2006
721,57.931006625,2006
722,57.931006625,2006
727,77.338169554,2006
729,77.338169554,2006
945,36.253703279,2006
946,36.253703279,2006
947,36.253703279,2006
950,36.253703279,2006
953,36.253703279,2006
959,74.981478671,2006
945,50.351079254,2006
946,50.351079254,2006
947,50.351079254,2006
948,50.351079254,2006
932,35.622528339,2006
936,35.622528339,2006
937,35.622528339,2006
938,35.622528339,2006
955,77.126549005,2006
922,16.64818108,2006
932,41.798754502,2006
933,41.798754502,2006
934,41.798754502,2006
935,41.798754502,2006
932,37.732476401,2006
936,37.732476401,2006
900,28.513398783,2006
902,28.513398783,2006
903,28.513398783,2006
904,28.513398783,2006
905,28.513398783,2006
906,28.513398783,2006
907,28.513398783,2006
908,28.513398783,2006
910,28.513398783,2006
911,28.513398783,2006
912,28.513398783,2006
913,28.513398783,2006
914,28.513398783,2006
915,28.513398783,2006
916,28.513398783,2006
917,28.513398783,2006
918,28.513398783,2006
930,28.513398783,2006
932,28.513398783,2006
935,28.513398783,2006
936,41.023520152,2006
949,74.5752866,2006
936,34.61158782,2006
953,34.61158782,2006
934,35.370873861,2006
939,35.370873861,2006
950,35.370873861,2006
945,60.063190919,2006
954,60.063190919,2006
906,46.210655755,2006
907,46.210655755,2006
908,46.210655755,2006
926,46.210655755,2006
927,46.210655755,2006
928,46.210655755,2006
956,77.384254385,2006
957,77.384254385,2006
959,77.384254385,2006
961,77.384254385,2006
917,42.140934133,2006
920,42.140934133,2006
922,42.140934133,2006
923,42.140934133,2006
925,42.140934133,2006
928,42.140934133,2006
945,51.034505676,2006
956,51.034505676,2006
957,51.034505676,2006
958,51.034505676,2006
917,36.299537488,2006
922,36.299537488,2006
923,36.299537488,2006
924,36.299537488,2006
925,36.299537488,2006
928,36.299537488,2006
935,36.299537488,2006
919,50.325790016,2006
