store_code_uc,store_zip3,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_drink
30131,633,1,1,1,1,1,1,1,1,1,1,10
31063,482,1,1,1,1,1,1,1,1,1,1,10
31159,327,0,0,1,1,1,1,1,1,1,1,8
31294,378,1,1,1,1,1,1,1,1,1,1,10
31430,13,1,1,1,1,1,1,1,1,1,1,10
32503,770,1,1,1,1,1,1,1,1,1,1,10
32848,442,1,1,1,1,1,1,1,1,1,1,10
32906,775,1,1,1,1,1,1,1,1,1,1,10
34518,18,1,1,1,1,1,1,1,1,1,1,10
34545,321,1,1,1,1,1,1,1,1,1,1,10
34886,344,0,0,0,1,1,1,1,1,1,1,7
35324,226,1,1,1,1,1,1,1,1,1,1,10
35754,322,1,1,1,1,1,1,1,1,1,1,10
36130,60,1,1,1,1,1,1,1,1,1,1,10
36936,128,1,1,1,1,1,1,1,1,1,1,10
37076,10,1,1,1,1,1,1,1,1,1,1,10
37086,853,1,1,1,1,1,1,1,1,1,1,10
37339,64,1,1,1,1,1,1,1,1,1,1,10
37566,163,1,1,1,1,1,1,1,1,1,1,10
37882,10,1,1,1,1,1,1,1,1,1,1,10
38444,372,1,1,1,1,1,1,1,1,1,1,10
38916,301,0,0,0,1,1,1,1,1,1,1,7
38951,622,1,1,1,1,1,1,1,1,1,1,10
38997,484,1,1,1,1,1,1,1,1,1,1,10
39381,321,1,1,1,1,1,1,1,1,1,1,10
39725,954,1,1,1,1,1,1,1,1,1,1,10
40160,797,1,1,1,1,1,1,1,1,1,1,10
40405,700,1,1,1,1,1,1,1,1,1,1,10
40504,898,0,0,1,1,1,1,1,1,1,1,8
40541,286,1,1,1,1,1,1,1,1,1,1,10
40563,60,1,1,1,1,1,1,1,1,1,1,10
40572,29,1,1,1,1,1,1,1,1,1,1,10
40966,253,1,1,1,1,1,1,1,1,1,1,10
41347,217,1,1,1,1,1,1,1,1,1,1,10
41772,109,1,1,1,1,1,1,1,1,1,1,10
42578,217,1,1,1,1,1,1,1,1,1,1,10
42660,342,1,1,1,1,1,1,1,1,1,1,10
43226,704,1,1,1,1,1,1,1,1,1,1,10
43755,954,1,1,1,1,1,1,1,1,1,1,10
43787,150,1,1,1,1,1,1,1,1,1,1,10
44081,605,1,1,1,1,1,1,1,1,1,1,10
44109,435,1,1,1,1,1,1,1,1,1,1,10
44236,926,1,1,1,1,1,1,1,1,1,1,10
44326,750,1,1,1,1,1,1,1,1,1,1,10
44517,207,0,0,1,1,1,1,1,1,1,1,8
44558,301,0,0,0,1,1,1,1,1,1,1,7
45042,630,1,1,1,1,1,1,1,1,1,1,10
45241,705,1,1,1,1,1,1,1,1,1,1,10
45399,775,1,1,1,1,1,1,1,1,1,1,10
45558,333,0,0,1,1,1,1,1,1,1,1,8
46047,706,1,1,1,1,1,1,1,1,1,1,10
46205,458,1,1,1,1,1,1,1,1,1,1,10
47011,10,1,1,1,1,1,1,1,1,1,1,10
47115,534,0,1,1,1,1,1,1,1,1,1,9
47379,315,0,0,0,1,1,1,1,1,1,1,7
47817,170,1,1,1,1,1,1,1,1,1,1,10
47985,549,0,1,1,1,1,1,1,1,1,1,9
48669,301,1,1,1,1,1,1,1,1,1,1,10
48822,542,0,0,0,1,1,1,1,1,1,1,7
48868,707,1,1,1,1,1,1,1,1,1,1,10
48994,954,1,1,1,1,1,1,1,1,1,1,10
49130,864,0,0,0,0,1,1,1,1,1,1,6
49243,317,1,1,1,1,1,1,1,1,1,1,10
49429,277,0,0,0,0,1,1,1,1,1,1,6
49878,272,1,1,1,1,1,1,1,1,1,1,10
50638,28,1,1,1,1,1,1,1,1,1,1,10
50665,328,1,1,1,1,1,1,1,1,1,1,10
50733,558,1,1,1,1,1,1,1,1,1,1,10
51068,328,1,1,1,1,1,1,1,1,1,1,10
51136,563,1,1,1,1,1,1,1,1,1,1,10
51412,954,1,1,1,1,1,1,1,1,1,1,10
51604,181,0,0,0,1,1,1,1,1,1,1,7
52250,133,1,1,1,1,1,1,1,1,1,1,10
52354,718,0,0,0,0,1,1,1,1,1,1,6
52495,711,1,1,1,1,1,1,1,1,1,1,10
52653,207,1,1,1,1,1,1,1,1,1,1,10
52898,12,1,1,1,1,1,1,1,1,1,1,10
53083,329,1,1,1,1,1,1,1,1,1,1,10
53459,462,1,1,1,1,1,1,1,1,1,1,10
53704,19,1,1,1,1,1,1,1,1,1,1,10
53827,488,0,0,0,1,1,1,1,1,1,1,7
54369,922,0,0,0,0,1,1,1,1,1,1,6
54415,770,1,1,1,1,1,1,1,1,1,1,10
54714,224,1,1,1,1,1,1,1,1,1,1,10
55071,788,1,1,1,1,1,1,1,1,1,1,10
55098,860,1,1,1,1,1,1,1,1,1,1,10
55339,344,0,0,1,1,1,1,1,1,1,1,8
55605,770,1,1,1,1,1,1,1,1,1,1,10
55877,117,1,1,1,1,1,1,1,1,1,1,10
56135,263,1,1,1,1,1,1,1,1,1,1,10
56307,334,1,1,1,1,1,1,1,1,1,1,10
56683,365,1,1,1,1,1,1,1,1,1,1,10
56692,68,1,1,1,1,1,1,1,1,1,1,10
56819,837,1,1,1,1,1,1,1,1,1,1,10
56928,207,1,1,1,1,1,1,1,1,1,1,10
57086,681,1,1,1,1,1,1,1,1,1,1,10
57489,136,1,1,1,1,1,1,1,1,1,1,10
57631,245,0,0,0,0,1,1,1,1,1,1,6
57906,806,1,1,1,1,1,1,1,1,1,1,10
58698,797,1,1,1,1,1,1,1,1,1,1,10
58929,117,1,1,1,1,1,1,1,1,1,1,10
58943,207,1,1,1,1,1,1,1,1,1,1,10
58966,306,0,0,1,1,1,1,1,1,1,1,8
59223,945,1,1,1,1,1,1,1,1,1,1,10
59469,104,0,0,0,1,1,1,1,1,1,1,7
59472,955,1,1,1,1,1,1,1,1,1,1,10
59608,302,0,0,0,0,1,1,1,1,1,1,6
59749,212,1,1,1,1,1,1,1,1,1,1,10
60175,302,0,0,1,1,1,1,1,1,1,1,8
60310,254,1,1,1,1,1,1,1,1,1,1,10
60401,309,1,1,1,1,1,1,1,1,1,1,10
60482,28,1,1,1,1,1,1,1,1,1,1,10
60749,666,0,0,1,1,1,1,1,1,1,1,8
60808,530,1,1,1,1,1,1,1,1,1,1,10
61095,30,0,0,0,0,1,1,1,1,1,1,6
61207,748,1,1,1,1,1,1,1,1,1,1,10
61252,381,1,1,1,1,1,1,1,1,1,1,10
61326,191,0,0,0,0,0,1,1,1,1,1,5
61487,955,1,1,1,1,1,1,1,1,1,1,10
61533,34,1,1,1,1,1,1,1,1,1,1,10
61623,307,0,0,0,0,1,1,1,1,1,1,6
61922,492,1,1,1,1,1,1,1,1,1,1,10
62832,838,0,0,0,0,1,1,1,1,1,1,6
62986,217,1,1,1,1,1,1,1,1,1,1,10
